customer_key,customer_id,gender,age,tenure
1,1,Female,42,2
2,2,Female,41,1
3,3,Female,42,8
4,4,Female,39,1
5,5,Female,43,2
6,6,Male,44,8
7,7,Male,50,7
8,8,Female,29,4
9,9,Male,44,4
10,10,Male,27,2
11,11,Male,31,6
12,12,Male,24,3
13,13,Female,34,10
14,14,Female,25,5
15,15,Female,35,7
16,16,Male,45,3
17,17,Male,58,1
18,18,Female,24,9
19,19,Male,45,6
20,20,Female,24,6
21,21,Male,41,8
22,22,Female,32,8
23,23,Female,38,4
24,24,Male,46,3
25,25,Female,38,5
26,26,Male,25,3
27,27,Male,36,2
28,28,Male,44,9
29,29,Female,43,3
30,30,Male,29,0
31,31,Female,39,3
32,32,Male,36,7
33,33,Male,41,9
34,34,Female,42,6
35,35,Female,29,9
36,36,Female,45,0
37,37,Male,31,3
38,38,Male,33,7
39,39,Male,36,7
40,40,Male,41,6
41,41,Male,40,4
42,42,Female,51,8
43,43,Female,61,2
44,44,Female,49,2
45,45,Female,61,5
46,46,Female,32,4
47,47,Female,27,9
48,48,Female,39,9
49,49,Male,38,2
50,50,Female,37,2
51,51,Male,44,10
52,52,Male,36,5
53,53,Female,33,5
54,54,Male,41,8
55,55,Male,42,1
56,56,Male,43,1
57,57,Male,45,5
58,58,Male,19,0
59,59,Female,66,4
60,60,Male,51,4
61,61,Male,35,5
62,62,Female,27,9
63,63,Male,33,1
64,64,Male,56,8
65,65,Male,26,4
66,66,Female,36,6
67,67,Female,34,1
68,68,Male,43,10
69,69,Female,35,5
70,70,Female,21,8
71,71,Male,58,2
72,72,Male,29,6
73,73,Female,37,0
74,74,Female,25,5
75,75,Male,36,9
76,76,Female,21,1
77,77,Male,55,8
78,78,Female,32,9
79,79,Male,33,5
80,80,Female,41,10
81,81,Female,34,1
82,82,Female,32,2
83,83,Female,36,3
84,84,Female,34,4
85,85,Female,46,4
86,86,Female,75,10
87,87,Male,22,3
88,88,Male,30,9
89,89,Female,46,4
90,90,Female,28,3
91,91,Female,44,5
92,92,Male,45,7
93,93,Female,36,10
94,94,Male,29,8
95,95,Male,42,4
96,96,Male,35,10
97,97,Male,41,9
98,98,Male,29,8
99,99,Male,22,8
100,100,Male,34,9
101,101,Female,40,6
102,102,Female,44,6
103,103,Male,31,9
104,104,Male,36,7
105,105,Female,65,1
106,106,Female,46,4
107,107,Male,32,1
108,108,Female,36,2
109,109,Male,33,5
110,110,Male,35,9
111,111,Male,30,3
112,112,Male,39,7
113,113,Male,42,2
114,114,Male,36,9
115,115,Male,28,9
116,116,Female,30,9
117,117,Female,37,6
118,118,Female,41,1
119,119,Female,31,8
120,120,Male,34,4
121,121,Male,34,8
122,122,Male,39,6
123,123,Female,39,6
124,124,Female,48,10
125,125,Female,28,3
126,126,Male,42,9
127,127,Female,52,1
128,128,Male,56,0
129,129,Female,41,7
130,130,Male,24,9
131,131,Female,34,3
132,132,Female,33,9
133,133,Male,38,9
134,134,Male,25,1
135,135,Male,39,7
136,136,Female,50,5
137,137,Female,34,5
138,138,Male,40,2
139,139,Female,48,2
140,140,Female,35,1
141,141,Male,44,10
142,142,Male,34,7
143,143,Female,43,5
144,144,Male,52,2
145,145,Female,31,5
146,146,Female,21,5
147,147,Female,29,8
148,148,Male,37,5
149,149,Male,44,9
150,150,Male,32,0
151,151,Female,32,7
152,152,Female,48,9
153,153,Male,42,8
154,154,Male,37,2
155,155,Female,43,6
156,156,Male,57,7
157,157,Female,33,7
158,158,Female,28,2
159,159,Female,73,6
160,160,Female,33,4
161,161,Female,22,6
162,162,Male,30,2
163,163,Female,49,7
164,164,Female,36,2
165,165,Male,29,0
166,166,Male,31,9
167,167,Female,24,7
168,168,Female,41,9
169,169,Female,39,2
170,170,Male,24,9
171,171,Female,29,4
172,172,Male,27,5
